,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
59,Synset('physique.n.01'),Synset('human_body.n.01'),Synset('construct.v.01'),Synset('build_up.v.02'),Synset('build.v.03'),Synset('build.v.04'),Synset('build.v.05'),Synset('build.v.06'),Synset('build.v.07'),Synset('build.v.08'),Synset('build_up.v.04'),Synset('build.v.10'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Synset('bully.n.01'),Synset('bully.n.02'),Synset('strong-arm.v.02'),Synset('browbeat.v.02'),Synset('bang-up.s.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Synset('call.n.01'),Synset('call.n.02'),Synset('cry.n.01'),Synset('call.n.04'),Synset('birdcall.n.01'),Synset('call.n.06'),Synset('margin_call.n.01'),Synset('call.n.08'),Synset('call.n.09'),Synset('call.n.10'),Synset('call.n.11'),Synset('call.n.12'),Synset('call_option.n.02'),Synset('name.v.01'),Synset('call.v.02'),Synset('call.v.03'),Synset('shout.v.02'),Synset('call.v.05'),Synset('visit.v.03'),Synset('call.v.07'),Synset('call.v.08'),Synset('call.v.09'),Synset('call.v.10'),Synset('call.v.11'),Synset('address.v.06'),Synset('call.v.13'),Synset('call.v.14'),Synset('bid.v.04'),Synset('call.v.16'),Synset('call.v.17'),Synset('predict.v.01'),Synset('call.v.19'),Synset('call.v.20'),Synset('call.v.21'),Synset('call.v.22'),Synset('call.v.23'),Synset('call.v.24'),Synset('call.v.25'),Synset('call.v.26'),Synset('call.v.27'),Synset('call.v.28'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Synset('callous.v.01'),Synset('callous.s.01'),Synset('calloused.s.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Synset('can.n.01'),Synset('can.n.02'),Synset('can.n.03'),Synset('buttocks.n.01'),Synset('toilet.n.02'),Synset('toilet.n.01'),Synset('can.v.01'),Synset('displace.v.03'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Synset('casual.s.01'),Synset('casual.s.02'),Synset('casual.s.03'),Synset('casual.s.04'),Synset('casual.s.05'),Synset('casual.s.06'),Synset('fooling.s.01'),Synset('free-and-easy.s.01'),Synset('casual.s.09'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Synset('chain.v.01'),Synset('chain.v.02'),Synset('chained.s.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Synset('champion.n.01'),Synset('champion.n.02'),Synset('supporter.n.01'),Synset('ace.n.03'),Synset('champion.v.01'),Synset('champion.s.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Synset('champion.n.01'),Synset('champion.n.02'),Synset('supporter.n.01'),Synset('ace.n.03'),Synset('champion.v.01'),Synset('champion.s.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Synset('opportunity.n.01'),Synset('luck.n.02'),Synset('chance.n.03'),Synset('probability.n.01'),Synset('prospect.n.01'),Synset('chance.v.01'),Synset('gamble.v.01'),Synset('find.v.01'),Synset('casual.s.04'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Synset('change.n.01'),Synset('change.n.02'),Synset('change.n.03'),Synset('change.n.04'),Synset('change.n.05'),Synset('change.n.06'),Synset('change.n.07'),Synset('change.n.08'),Synset('change.n.09'),Synset('variety.n.06'),Synset('change.v.01'),Synset('change.v.02'),Synset('change.v.03'),Synset('switch.v.03'),Synset('change.v.05'),Synset('change.v.06'),Synset('exchange.v.01'),Synset('transfer.v.06'),Synset('deepen.v.04'),Synset('change.v.10'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Synset('chat.n.01'),Synset('new_world_chat.n.01'),Synset('old_world_chat.n.01'),Synset('chew_the_fat.v.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Synset('choice.n.01'),Synset('choice.n.02'),Synset('option.n.02'),Synset('choice.s.01'),Synset('choice.s.02'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Synset('christian.n.01'),Synset('christian.a.01'),Synset('christian.a.02'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Synset('bang.n.02'),Synset('gonorrhea.n.01'),Synset('clack.n.01'),Synset('clap.v.01'),Synset('clap.v.02'),Synset('applaud.v.01'),Synset('clap.v.04'),Synset('clap.v.05'),Synset('clap.v.06'),Synset('clap.v.07'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Synset('categorization.n.03'),Synset('classification.n.02'),Synset('classification.n.03'),Synset('classification.n.04'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Synset('categorization.n.03'),Synset('classification.n.02'),Synset('classification.n.03'),Synset('classification.n.04'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Synset('cartridge_holder.n.01'),Synset('time.n.01'),Synset('clip.n.03'),Synset('clip.n.04'),Synset('clip.n.05'),Synset('clip.n.06'),Synset('nip.v.03'),Synset('trot.v.01'),Synset('clip.v.03'),Synset('snip.v.02'),Synset('clip.v.05'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Synset('cartridge_holder.n.01'),Synset('time.n.01'),Synset('clip.n.03'),Synset('clip.n.04'),Synset('clip.n.05'),Synset('clip.n.06'),Synset('nip.v.03'),Synset('trot.v.01'),Synset('clip.v.03'),Synset('snip.v.02'),Synset('clip.v.05'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Synset('cochin.n.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Synset('jointly.r.02'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
